city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,population,density,source,military,incorporated,timezone,ranking,zips,id
Kenmore,Kenmore,NY,New York,36029,Erie,42.9646,-78.8713,15020,4039,polygon,FALSE,TRUE,America/New_York,2,14217,1840004386
Depew,Depew,NY,New York,36029,Erie,42.9117,-78.7044,15011,1141,polygon,FALSE,TRUE,America/New_York,3,14043,1840004397
Vandalia,Vandalia,OH,Ohio,39113,Montgomery,39.879,-84.193,14997,468,polygon,FALSE,TRUE,America/New_York,3,45414 45377,1840003786
Williamstown,Williamstown,NJ,New Jersey,34015,Gloucester,39.6874,-74.9786,14962,778,polygon,FALSE,FALSE,America/New_York,3,8094,1840016785
Boulder City,Boulder City,NV,Nevada,32003,Clark,35.8407,-114.9257,14959,30,polygon,FALSE,TRUE,America/Los_Angeles,3,89046 89005 89006,1840019028
South Farmingdale,South Farmingdale,NY,New York,36059,Nassau,40.7175,-73.4471,14953,2602,polygon,FALSE,FALSE,America/New_York,2,11758 11735,1840005276
Fords,Fords,NJ,New Jersey,34023,Middlesex,40.5415,-74.3124,14948,2159,polygon,FALSE,FALSE,America/New_York,2,08863 07095 08840,1840005409
Jamestown,Jamestown,ND,North Dakota,38093,Stutsman,46.9063,-98.6936,14944,438,polygon,FALSE,TRUE,America/Chicago,3,58401 58402 58405,1840000153
Hewitt,Hewitt,TX,Texas,48309,McLennan,31.452,-97.196,14937,821,polygon,FALSE,TRUE,America/Chicago,3,76643,1840020809
Beech Grove,Beech Grove,IN,Indiana,18097,Marion,39.7157,-86.0871,14937,1288,polygon,FALSE,TRUE,America/Indiana/Indianapolis,3,46107 46203,1840007307
Newport,Newport,KY,Kentucky,21037,Campbell,39.0855,-84.4868,14932,2112,polygon,FALSE,TRUE,America/New_York,2,41071 41072,1840014261
Coto de Caza,Coto de Caza,CA,California,6059,Orange,33.5961,-117.5862,14931,746,polygon,FALSE,FALSE,America/Los_Angeles,3,92679,1840028363
Tehachapi,Tehachapi,CA,California,6029,Kern,35.1274,-118.4749,14928,494,polygon,FALSE,TRUE,America/Los_Angeles,3,93561 93581,1840021737
Berea,Berea,SC,South Carolina,45045,Greenville,34.8802,-82.4653,14923,747,polygon,FALSE,FALSE,America/New_York,3,29617 29611,1840013495
Sulphur Springs,Sulphur Springs,TX,Texas,48223,Hopkins,33.1421,-95.6124,14916,309,polygon,FALSE,TRUE,America/Chicago,3,75482 75483,1840022031
Astoria,Astoria,OR,Oregon,41007,Clatsop,46.1856,-123.8053,14916,630,polygon,FALSE,TRUE,America/Los_Angeles,3,97103,1840018504
Taft,Taft,CA,California,6029,Kern,35.1267,-119.4242,14898,234,polygon,FALSE,TRUE,America/Los_Angeles,3,93252 93268,1840021736
Ferndale,Ferndale,WA,Washington,53073,Whatcom,48.8525,-122.5893,14897,823,polygon,FALSE,TRUE,America/Los_Angeles,3,98248,1840019751
Livingston,Livingston,CA,California,6047,Merced,37.3875,-120.7248,14896,1565,polygon,FALSE,TRUE,America/Los_Angeles,3,95334,1840020311
Dentsville,Dentsville,SC,South Carolina,45079,Richland,34.0754,-80.9546,14887,858,polygon,FALSE,FALSE,America/New_York,3,29223,1840013089
Franklin Park,Franklin Park,PA,Pennsylvania,42003,Allegheny,40.5903,-80.0999,14885,424,polygon,FALSE,TRUE,America/New_York,3,15237 15090 15143,1840001198
